"시점",발생건수 (건),발생건수 (건),발생건수 (건),발생건수 (건),발생건수 (건),발생건수 (건),발생건수 (건),발생건수 (건),발생건수 (건),발생건수 (건),발생건수 (건),발생건수 (건),발생건수 (건),발생건수 (건),발생건수 (건)
"시점",강력범죄,절도범죄,폭력범죄,지능범죄,풍속범죄,특별경제범죄,마약범죄,보건범죄,환경범죄,교통범죄,노동범죄,안보범죄,선거범죄,병역범죄,기타범죄
"2011",26699,281362,311945,279802,28834,68026,4160,14083,2649,536167,1584,131,212,20587,176357
"2012",25152,290460,312579,295101,24801,78155,4268,16800,3128,542784,1391,109,1262,23143,174267
"2013",26962,288343,294188,329439,27373,71019,4598,20383,4135,573453,1721,135,398,26173,188956
"2014",25277,266222,290079,298652,24976,72908,4825,14657,2536,573493,1308,84,1874,21549,180526
"2015",25334,245853,305947,316121,24491,86329,6411,14602,2955,596665,1145,121,760,18726,216197
"2016",25765,203037,309394,312577,26165,65025,7329,14662,4349,600401,2457,81,1018,16651,260539
"2017",27274,183757,293086,302466,22501,53356,7501,12561,4879,501162,2862,98,640,15327,234871
"2018",26787,176809,287611,344698,20162,53994,6513,11033,4791,408371,1883,69,1897,14271,221862
"2019",26476,186957,287913,381533,21153,51400,8038,12570,3877,377354,975,169,611,12712,240168
"2020",24332,179517,265768,424642,22632,47826,9186,14595,3568,348725,356,216,829,3845,241829
"2021",22476,166409,232661,361107,23360,40708,8088,16936,3656,308634,406,206,274,1823,243082
"2022",24954,182270,245286,405105,27113,48615,10331,17749,3477,241029,714,219,2969,4638,267964
