"시점",절도,특가법(절도),야간주거침입절도,특수절도
"1994",38787,3879,3037,13891
"1995",43856,2342,2619,13596
"1996",51853,1996,2528,13653
"1997",62685,2362,2593,14805
"1998",62749,3812,3202,20870
"1999",60598,7136,3337,17507
"2000",140388,9388,3510,19620
"2001",147087,12330,3089,17248
"2002",130527,20014,3199,23155
"2003",144330,19716,3062,18741
"2004",120952,15546,2243,15488
"2005",156508,13016,2313,16075
"2006",159902,13644,2436,16029
"2007",171873,16849,2917,19847
"2008",177429,19633,3527,21527
"2009",193897,27946,5056,27453
"2010",211991,24459,7437,24049
